Keyword,SERP Position,Link,Performance Score,First Contentful Paint,Speed Index,Time To Interactive,SEO Score
data analytics,6,https://www.digital-coach.com/it/blog/case-histories/data-analytics/,0.53,0.51,0.2,0.52,0.92
data analytics,1,https://www.tibco.com/reference-center/what-is-data-analytics,0.78,0.98,0.87,0.72,0.83
data analytics,7,https://www.comptia.org/content/guides/what-is-data-analytics,0.65,0.63,0.18,0.48,0.92
data analytics,9,https://www.bigdata4innovation.it/data-analytics/,0.95,0.91,0.76,0.85,1
search engine optimization,1,https://it.wikipedia.org/wiki/Ottimizzazione_per_i_motori_di_ricerca,1,1,1,1,0.75
data analytics,10,https://grow.google/certificates/data-analytics/,0.63,0.94,0.49,0.17,0.92
data analytics,12,https://www.uniroma3.it/corsi-post-lauream/2022-2023/data-analytics-1144/,0.44,0.11,0.06,0.36,0.91
data analytics,8,https://www.coursera.org/professional-certificates/google-data-analytics,0.65,0.97,0.65,0.47,0.83
data analytics,11,https://www.sas.com/it_it/insights/analytics/big-data-analytics.html,0.67,0.99,0.06,0.49,0.83
search engine optimization,2,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,0.91,0.86,0.91,0.9,0.92
big data,10,https://www.raicultura.it/raicultura/articoli/2020/03/Big-Data-e-Analytics-b897023c-6b68-4426-a8c3-6fc2abe4d76c.html,0.42,0.94,0.11,0,0.92
data analytics,13,https://www.matfis.unicampania.it/didattica/corsi-di-studio/data-analytics,0.34,0.61,0,0.04,0.82
search engine optimization,3,https://www.agendadigitale.eu/cultura-digitale/search-engine-optimization-seo-cose-come-funziona-e-come-si-evolve/,0.93,0.9,0.89,0.98,0.83
search engine optimization,5,https://www.insidemarketing.it/glossario/definizione/seo/,0.95,1,0.68,1,1
search engine optimization,4,https://www.wordstream.com/seo,0.76,0.99,0.77,0.81,0.92
search engine optimization,6,https://moz.com/beginners-guide-to-seo,0.76,0.97,0.99,0.71,0.83
search engine optimization,9,https://www.glossariomarketing.it/significato/seo/,0.86,0.95,0.6,1,0.92
search engine optimization,7,https://www.optimizely.com/optimization-glossary/search-engine-optimization/,0.97,0.98,0.86,0.96,1
search engine optimization,8,https://www.italiaonline.it/risorse/ottimizzazione-seo-quali-sono-le-migliori-tecniche-517,0.72,0.99,0.56,0.86,0.92
search engine optimization,11,https://mailchimp.com/marketing-glossary/seo/,0.67,1,0.68,0.9,0.83
user experience design,1,https://careerfoundry.com/en/blog/ux-design/what-is-user-experience-ux-design-everything-you-need-to-know-to-get-started/,0.92,0.99,0.96,1,0.83
search engine optimization,10,https://www.techtarget.com/whatis/definition/search-engine-optimization-SEO,0.65,0.98,0.46,0.43,1
user experience design,2,https://en.wikipedia.org/wiki/User_experience_design,1,1,1,1,0.83
search engine optimization,12,https://www.studiosamo.it/seo/,0.64,0.45,0.17,0.5,0.92
user experience design,4,https://www.smashingmagazine.com/2010/10/what-is-user-experience-design-overview-tools-and-resources/,1,1,0.99,1,0.92
user experience design,3,https://maze.co/collections/ux-ui-design/what-is-ux/,0.61,0.91,0.75,0.66,1
user experience design,6,https://www.techtarget.com/searchcio/definition/UX-user-experience,0.85,1,0.16,0.56,0.83
user experience design,7,https://www.nngroup.com/articles/definition-user-experience/,0.8,0.64,0.23,0.98,0.92
user experience design,9,https://www.usability.gov/what-and-why/user-experience.html,0.97,0.99,0.99,1,0.83
user experience design,1,https://www.insidemarketing.it/user-experience-designer-caratteristiche/,0.99,1,0.93,1,0.92
user experience design,5,https://www.coursera.org/learn/user-experience-design,0.66,0.95,0.7,0.61,0.92
user experience design,5,https://www.coursera.org/learn/user-experience-design,0.66,0.95,0.7,0.61,0.92
user experience design,3,https://search.usi.ch/it/corsi/35265626/user-experience-design,0.97,1,0.73,1,0.91
user experience design,2,https://www.unibo.it/it/didattica/insegnamenti/insegnamento/2021/446611,0.81,0.61,0.16,0.99,0.83
user experience design,8,https://www.hotjar.com/ux-design/,0.59,0.98,0.07,0.39,0.92
user experience design,10,https://www.usertesting.com/blog/what-is-ux-design-15-user-experience-experts-weigh-in,0.49,0.84,0.64,0.3,0.92
user experience design,4,https://www.iulm.it/it/offerta-formativa/master-executive-education/master-executive/architettura-dellinformazione-e-user-experience-design,0.63,0.17,0.09,0.75,0.83
user experience design,9,https://www.html.it/articoli/usabilita-siti-web/,0.79,0.97,0.52,0.95,0.92
user experience design,7,https://www.smcconsulting.it/cosa-facciamo/servizi-digitali/user-experience-design/,0.75,0.92,0.1,0.84,0.92
user experience design,8,https://www.eurostep.it/user-experience-design-ecommerce/,0.78,0.96,0.28,0.97,1
user experience design,6,https://xdapolidesign.com/,0.8,0.94,0.13,0.98,1
user experience design,10,https://www.hoepli.it/libro/user-experience-design/9788820386160.html,0.96,1,0.67,1,0.83
user experience design,12,https://it.indeed.com/q-user-experience-designer-offerte-lavoro.html,0.73,0.93,0.77,0.83,1
user experience design,11,https://www.interaction-design.org/literature/topics/ux-design,0.98,0.96,0.97,0.96,0.83
mobile app development,2,https://aws.amazon.com/mobile/mobile-application-development/,0.75,0.94,0.93,0.79,0.92
mobile app development,4,https://en.wikipedia.org/wiki/Mobile_app_development,1,1,1,1,0.75
mobile app development,3,https://buildfire.com/understanding-mobile-app-development-lifecycle/,0.72,0.95,0.97,0.99,0.92
mobile app development,10,https://www.invonto.com/insights/mobile-app-development-process/,0.73,0.67,0.83,0.76,0.75
user experience design,13,https://www.amazon.it/User-Experience-Design-Luca-Longo/dp/8891651176,0.73,0.87,0.38,0.69,0.75
mobile app development,5,https://www.openxcell.com/mobile-app-development/,0.89,0.98,0.28,0.9,0.92
mobile app development,8,https://developer.android.com/,0.85,0.64,0.64,0.79,0.75
mobile app development,11,https://www.netsolutions.com/hub/mobile-app-development,1,1,1,1,0.83
mobile app development,6,https://www.techtarget.com/searchapparchitecture/definition/mobile-application-development,0.62,1,0.12,0.41,0.92
mobile app development,1,https://www.ibm.com/topics/mobile-application-development,0.57,0.92,0.07,0.38,0.92
mobile app development,9,https://www.youtube.com/watch?v=EXGFQl86now,0.57,0.94,0.15,0.37,0.75
mobile app development,7,https://www.udemy.com/courses/development/mobile-apps/,0.46,1,0.2,0.57,0.83
mobile app development,13,https://www.simplilearn.com/building-career-in-mobile-app-development-article,0.96,1,1,0.99,1
mobile app development,12,https://www.kellton.com/kellton-tech-blog/top-10-mobile-app-development-frameworks-in-2023,0.91,0.93,0.78,0.78,0.83
game development,1,https://www.vigamusacademy.com/che-cose-il-game-development/,0.69,0.89,0.28,0.98,0.83
game development,2,https://dbgameacademy.it/game-programming/,0.98,0.99,0.92,1,0.92
game development,5,https://www.corsi.univr.it/?ent=cs&id=406,0.93,1,0.25,1,0.91
game development,3,https://www.gamedeveloper.com/,0.74,0.99,0.44,0.56,0.92
game development,2,https://www.gamedeveloper.com/,0.74,0.99,0.44,0.56,0.92
game development,4,https://www.mastergamedev.it/,0.98,1,0.98,1,1
game development,6,https://www.techyon.it/articoli/game-developer-cosa-fa-quali-competenze.html,0.82,0.84,0.86,1,0.83
game development,9,https://www.freecodecamp.org/news/what-is-game-development/,0.93,0.96,0.97,0.95,1
game development,11,https://www.codecademy.com/learn/introduction-to-game-development,0.67,1,0.84,0.31,0.92
game development,8,https://www.udemy.com/it/topic/game-development/,0.31,1,0.35,0.72,0.92
game development,3,https://www.simplilearn.com/how-to-become-a-game-developer-article,0.91,0.89,0.98,0.99,1
game development,12,https://www.simplilearn.com/how-to-become-a-game-developer-article,0.91,0.89,0.98,0.99,1
game development,7,https://en.wikipedia.org/wiki/Video_game_development,1,1,0.99,1,0.75
game development,10,https://www.coursera.org/articles/game-developer,0.69,0.98,0.89,0.73,0.83
game development,13,https://gdevelop.io/,0.62,1,0.18,0.77,1
game development,5,https://onlinemasters.ohio.edu/blog/video-game-development/,0.87,0.83,0.82,0.7,0.92
game development,4,https://www.forbes.com/advisor/education/how-to-become-a-video-game-developer/,0.62,0.94,0.34,0.62,0.83
game development,8,https://developer.android.com/games,0.82,0.61,0.58,0.56,0.83
game development,11,https://developer.mozilla.org/en-US/docs/Games,0.99,1,1,1,1
game development,13,https://gamedevelopment.tutsplus.com/,0.95,0.99,0.99,0.98,0.92
game development,10,https://www.interviewkickstart.com/blog/everything-you-need-to-know-about-game-development,0.74,0.76,0.49,0.67,0.92
game development,7,https://www.youtube.com/watch?v=U9vqzH65Zzw,0.53,0.66,0.15,0.41,0.75
game development,9,https://kevurugames.com/game-development/,0.86,0.96,0.16,0.83,0.92
virtual reality,1,https://en.wikipedia.org/wiki/Virtual_reality,1,1,1,1,0.75
virtual reality,5,https://www.vrs.org.uk/virtual-reality/what-is-virtual-reality.html,0.93,0.99,0.88,0.99,0.67
virtual reality,4,https://www.techtarget.com/whatis/definition/virtual-reality,0.67,0.99,0.26,0.26,0.92
virtual reality,6,https://www.marxentlabs.com/what-is-virtual-reality/,0.96,0.88,0.89,0.9,0.92
virtual reality,2,https://www.iberdrola.com/innovation/virtual-reality,0.63,0.55,0.02,0.44,0.92
virtual reality,9,https://www.nas.nasa.gov/Software/VWT/vr.html,1,1,1,1,0.73
virtual reality,10,https://guides.library.utoronto.ca/c.php?g=607624&p=4938314,0.85,0.93,0.59,1,0.73
virtual reality,7,https://www.bestbuy.com/site/video-games/virtual-reality/pcmcat1476727552895.c?id=pcmcat1476727552895,0.52,0.59,0.17,0.35,1
virtual reality,8,https://edu.gcfglobal.org/en/thenow/understanding-virtual-reality-and-augmented-reality/1/,0.4,0.44,0.37,0.26,0.83
virtual reality,13,https://www.simplilearn.com/tutorials/artificial-intelligence-tutorial/what-is-virtual-reality,0.89,1,1,0.98,1
augmented reality,3,https://www.investopedia.com/terms/a/augmented-reality.asp,0.64,1,0.42,0.09,0.92
augmented reality,1,https://it.wikipedia.org/wiki/Realt%C3%A0_aumentata,0.99,1,0.99,1,0.75
virtual reality,12,https://www.facebook.com/groups/virtualrealitys/,0.59,0.3,0.16,0.57,1
augmented reality,2,https://www.techtarget.com/whatis/definition/augmented-reality-AR,0.59,0.98,0.29,0.29,0.92
game development,12,https://developer.nvidia.com/industries/game-development,0.45,0.51,0.08,0.04,0.92
augmented reality,4,https://www.digital4.biz/executive/realta-aumentata-cose-come-funziona-e-ambiti-applicativi-in-italia/,0.88,0.81,0.8,0.78,0.83
virtual reality,11,https://www.lenovo.com/us/en/faqs/gaming/what-is-virtual-reality-gaming/,0.51,0.71,0.35,0.37,0.83
augmented reality,5,https://dynamics.microsoft.com/en-us/mixed-reality/guides/what-is-augmented-reality-ar/,0.77,0.77,0.84,0.99,0.83
augmented reality,10,https://www.thinkwithgoogle.com/intl/it-it/futuro-del-marketing/tecnologia-emergente/virtual-reality-augmented-reality-e-mixed-reality-cosa-sono-e-quali-sono-gli-ultimi-trend/,1,1,0.99,1,1
augmented reality,9,https://computer.howstuffworks.com/augmented-reality.htm,0.97,1,0.85,0.79,0.92
augmented reality,11,https://www.fi.edu/en/what-is-augmented-reality,0.99,1,1,0.95,0.83
augmented reality,12,https://www.softwaretestinghelp.com/what-is-augmented-reality/,1,0.99,1,1,1
augmented reality,8,https://www.gartner.com/en/information-technology/glossary/augmented-reality-ar,0.72,0.99,0.7,0.35,0.92
augmented reality,7,https://business.adobe.com/au/resources/5-realworld-examples-of-augmented-reality-innovation.html,0.39,0.73,0.03,0.04,0.83
blockchain,5,https://www.agendadigitale.eu/tag/blockchain/,0.96,0.9,0.96,0.98,0.83
blockchain,2,https://it.wikipedia.org/wiki/Blockchain,0.95,1,1,1,0.75
blockchain,1,https://blog.osservatori.net/it_it/blockchain-spiegazione-significato-applicazioni,0.51,0.91,0.1,0.17,0.92
blockchain,6,https://www.blockchain.com/,0.7,0.71,0.77,0.75,0.92
blockchain,10,https://www.corrierecomunicazioni.it/digital-economy/blockchain-ecco-cos-e-e-a-cosa-serve/,0.92,0.9,0.76,0.87,0.75
blockchain,9,https://play.google.com/store/apps/details?id=piuk.blockchain.android&hl=en_US,0.69,0.89,0.92,0.72,0.92
blockchain,8,https://www.borsaitaliana.it/notizie/sotto-la-lente/blockchain.htm,0.89,1,0.23,1,0.91
blockchain,7,https://aws.amazon.com/it/what-is/blockchain/,0.61,0.94,0.71,0.51,0.92
blockchain,4,https://www.blockchain4innovation.it/esperti/blockchain-perche-e-cosi-importante/,0.58,0.9,0.45,0.22,0.92
blockchain,11,https://www.sap.com/italy/products/artificial-intelligence/what-is-blockchain.html,0.72,0.89,0.55,0.9,0.83
blockchain,13,https://www.csttech.it/it/blockchain-big-data-apllicabilita-scenari-futuri,0.9,0.87,0.3,1,1
blockchain,3,https://www.ibm.com/it-it/topics/what-is-blockchain,0.26,0.93,0.16,0.47,0.92
digital marketing,3,https://neilpatel.com/what-is-digital-marketing/,1,1,1,1,0.83
digital marketing,5,https://en.wikipedia.org/wiki/Digital_marketing,1,1,1,1,0.75
digital marketing,7,https://www.snhu.edu/about-us/newsroom/business/types-of-digital-marketing,0.8,1,0.97,0.96,1
blockchain,12,https://www.treccani.it/enciclopedia/blockchain_%28altro%29/,0.31,0.69,0.05,0.38,1
digital marketing,1,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.59,1,0.05,0.05,0.92
digital marketing,2,https://www.investopedia.com/terms/d/digital-marketing.asp,0.61,1,0.3,0.05,0.83
digital marketing,9,https://www.ama.org/what-is-digital-marketing/,0.89,0.87,0.66,0.56,1
digital marketing,11,https://generalassemb.ly/education/digital-marketing,0.85,0.8,0.5,1,0.92
digital marketing,12,https://www.simplilearn.com/advanced-digital-marketing-certification-training-course,1,1,1,0.99,0.92
digital marketing,6,https://learndigital.withgoogle.com/digitalgarage/course/digital-marketing,0.44,0.88,0.04,0.92,0.75
digital marketing,10,https://digitalmarketinginstitute.com/,0.76,0.99,0.97,0.69,1
digital marketing,8,https://www.techtarget.com/searchcustomerexperience/definition/digital-marketing,0.63,1,0.13,0.51,0.83
social media marketing,2,https://it.wikipedia.org/wiki/Social_media_marketing,0.97,1,1,1,0.75
social media marketing,1,https://www.digital4.biz/marketing/social-media-marketing-cos-e-come-farlo-vantaggi/,0.57,0.81,0.66,0.88,0.83
social media marketing,3,https://www.insidemarketing.it/glossario/definizione/social-media-marketing/,0.96,1,0.72,1,1
social media marketing,6,https://www.studiosamo.it/social-media-marketing/,0.79,0.48,0.1,0.98,0.92
digital marketing,4,https://www.smartinsights.com/digital-marketing-strategy/digital-strategy-development/10-reasons-for-digital-marketing-strategy/,0.65,0.96,0.59,0.4,0.83
social media marketing,11,https://www.challengenetwork.it/corso/proclass/web-social-media-marketing-2/,1,1,0.97,1,1
social media marketing,4,https://www.digital-coach.com/it/social-media-marketing/,0.46,0.31,0.11,0.13,0.92
social media marketing,7,https://www.udemy.com/course/social-media-marketing-il-corso-completo-con-certificato/,0.68,1,0.64,0.71,0.83
social media marketing,12,https://sproutsocial.com/it/social-media-marketing-tools/,0.97,0.96,0.93,0.82,1
social media marketing,13,https://www.glossariomarketing.it/significato/social-media-marketing/,0.95,0.96,0.73,1,0.92
social media marketing,9,https://it.indeed.com/q-social-media-marketing-offerte-lavoro.html,0.55,0.92,0.51,0.71,1
social media marketing,10,https://www.digitaldictionary.it/blog/digital-marketing-social-media-marketing,0.75,0.55,0.28,0.42,0.83
social media marketing,5,https://blog.hootsuite.com/it/come-creare-un-piano-di-social-media-marketing-in-6-passaggi/,0.6,0.93,0.1,0.04,0.83
social media marketing,8,https://www.espero.it/corsi-digital-marketing/corso-social-media-marketing/,0.38,0.56,0,0.57,0.83
content marketing,8,https://www.searchenginejournal.com/content-marketing/,0.86,0.94,0.91,0.82,1
content marketing,9,https://backlinko.com/hub/content/what-is-content-marketing,0.98,1,0.99,0.99,0.92
content marketing,4,https://en.wikipedia.org/wiki/Content_marketing,1,1,1,1,0.83
content marketing,10,https://copyblogger.com/content-marketing/,0.94,0.94,0.88,0.98,0.83
content marketing,7,https://www.semrush.com/blog/what-is-content-marketing/,0.75,0.99,0.95,0.66,1
email marketing,1,https://www.insidemarketing.it/glossario/definizione/email-marketing/,0.95,1,0.69,1,1
content marketing,3,https://mailchimp.com/marketing-glossary/content-marketing/,0.78,1,0.81,0.91,0.83
content marketing,6,https://optinmonster.com/content-marketing-examples/,0.99,0.99,0.93,0.94,0.92
email marketing,2,https://it.sendinblue.com/blog/email-marketing-definizione/,0.81,0.99,0.44,0.81,0.92
content marketing,1,https://contentmarketinginstitute.com/what-is-content-marketing/,0.54,0.06,0.09,0.25,0.83
content marketing,2,https://blog.hubspot.com/marketing/content-marketing,0.61,0.99,0.18,0.13,0.92
email marketing,7,https://www.studiosamo.it/cos-e-email-marketing/,0.78,0.46,0.1,0.98,0.92
email marketing,8,https://www.glossariomarketing.it/significato/email-marketing/,0.95,0.96,0.63,1,0.92
email marketing,10,https://wearemarketers.net/piattaforme-email-marketing/,0.74,1,0.92,1,1
email marketing,4,https://academy.mailup.it/basi-email-marketing/,0.92,0.92,0.6,0.69,0.92
email marketing,11,https://www.digital-coach.com/it/email-marketing/,0.81,0.53,0.44,0.63,0.92
email marketing,9,https://www.dmep.it/inboundmarketing/email-marketing-migliori-strumenti,0.72,0.9,0.57,0.69,0.92
email marketing,6,https://www.dellanesta.it/email-marketing,0.59,1,0.02,0.95,0.91
email marketing,3,https://www.hi-net.it/cose-lemail-marketing-come-quando-e-perche-usarlo/,0.65,0.89,0,0.47,0.92
email marketing,12,https://www.italiaonline.it/risorse/e-mail-marketing-tipologie-di-e-mail-e-quando-usarle-5274,0.67,0.99,0.62,0.79,0.92
content marketing,5,https://www.forbes.com/sites/joshsteimle/2014/09/19/what-is-content-marketing/,0.35,0.99,0,0,0.83
email marketing,5,https://www.activecampaign.com/it/blog/email-marketing-esempi,0.47,0.87,0.04,0.39,1
email marketing,14,https://it.wikipedia.org/wiki/E-mail_marketing,0.98,1,0.99,1,0.75
email marketing,2,https://www.metadosi.fr/marketing-internet/4-plus-gros-avantages-du-marketing-par-email/,0.97,0.91,0.82,1,1
email marketing,8,https://fr.wikipedia.org/wiki/Marketing_par_courriel,1,1,1,1,0.75
email marketing,4,https://www.solocal.com/ressources/articles/email-marketing-10-exemples-campagnes,0.73,1,0.67,0.92,1
email marketing,13,https://www.capterra.it/directory/30013/email-marketing/software,0.61,0.99,0.4,0.96,1
email marketing,5,https://blog.waalaxy.com/email-marketing-exemple/,0.82,1,0.08,0.93,0.92
email marketing,1,https://www.digitaleo.fr/email-marketing,0.52,0.96,0.35,0.57,1
email marketing,9,https://www.e-marketing.fr/,0.71,1,0.71,0.89,0.83
email marketing,3,https://systeme.io/fr/blog/email-marketing,0.32,0.83,0.12,0.29,0.92
affiliate marketing,1,https://www.textbroker.fr/affiliate-marketing,0.79,1,0.99,1,0.92
email marketing,7,https://www.viseo.com/fr/emea/actualites/email-marketing-partie-1-la-delivrabilite-et-ses-enjeux,0.73,0.77,0.06,0.96,0.83
email marketing,10,https://sendpulse.com/fr/support/glossary/email-marketing,0.68,0.94,0.58,0.72,0.92
affiliate marketing,2,https://kinsta.com/fr/academie-affiliation/marketing-affiliation/,0.98,1,0.97,0.79,0.92
email marketing,12,https://www.meltwater.com/fr/blog/e-mailing,0.47,0.9,0.07,0.39,0.83
affiliate marketing,9,https://localmarketing.fr/mag/marketing-multi-local/affiliate-marketing,0.99,1,0.97,1,1
affiliate marketing,3,https://blog.hubspot.com/marketing/best-affiliate-programs,0.75,0.99,0.87,0.61,0.83
affiliate marketing,5,https://www.shopify.com/blog/affiliate-marketing,0.58,0.95,0.3,0.37,1
affiliate marketing,6,https://www.amazon.fr/Best-affiliate-beginner-guide-Affiliate-Marketing/dp/B07NLF3XJP,0.75,0.97,0.2,0.57,0.73
affiliate marketing,11,https://neilpatel.com/what-is-affiliate-marketing/,0.99,1,0.98,0.9,0.83
affiliate marketing,8,https://www.hostinger.fr/tutoriels/les-programmes-daffiliation-les-plus-rentables,0.88,1,0.98,1,0.83
affiliate marketing,7,https://context.reverso.net/traduction/anglais-francais/Affiliate+marketing,0.58,0.99,0.28,0.18,1
affiliate marketing,12,https://fr.bab.la/dictionnaire/anglais-francais/affiliate-marketing,0.97,0.99,0.76,0.99,0.83
affiliate marketing,4,https://www.bigcommerce.com/articles/ecommerce/affiliate-marketing/,0.58,1,0.67,0.22,1
affiliate marketing,13,https://ahrefs.com/blog/affiliate-marketing/,0.76,0.95,0.82,0.62,0.92
affiliate marketing,10,https://fr.fiverr.com/categories/online-marketing/affiliate-marketing,0.63,0.97,0.47,0.43,0.83
affiliate marketing,3,https://www.shoutmeloud.com/what-is-affiliate-marketing.html,0.84,0.99,0.99,1,1
affiliate marketing,2,https://www.entrepreneur.com/encyclopedia/affiliate-marketing,0.93,0.92,0.96,0.79,0.92
affiliate marketing,14,https://www.hellowork.com/fr-fr/metiers/affiliate-manager.html,0.89,0.99,0.48,0.98,0.92
affiliate marketing,5,https://www.wgu.edu/blog/affiliate-marketing2208.html,0.71,0.91,0.79,0.38,0.83
affiliate marketing,7,https://www.udemy.com/courses/marketing/affiliate-marketing/,0.63,1,0.64,0.89,0.83
affiliate marketing,9,https://affilimate.com/blog/affiliate-marketing/,0.92,0.99,0.97,1,1
affiliate marketing,8,https://www.rasmussen.edu/degrees/business/blog/what-is-affiliate-marketing/,0.64,0.98,0.47,0.47,0.83
affiliate marketing,4,https://www.g2.com/categories/affiliate-marketing,0.63,0.95,0.26,0.49,0.83
affiliate marketing,10,https://affise.com/blog/affiliate-marketing/,0.95,0.93,0.65,1,0.83
brand management,3,https://it.wikipedia.org/wiki/Gestione_del_marchio,1,1,1,1,0.75
affiliate marketing,12,https://kajabi.com/blog/what-is-affiliate-marketing,0.65,0.86,0.34,0.23,1
affiliate marketing,13,https://www.oberlo.com/blog/affiliate-programs,0.87,1,0.91,0.92,1
affiliate marketing,1,https://www.forbes.com/sites/forbesbusinesscouncil/2023/02/15/four-tips-to-succeed-in-affiliate-marketing/,0.35,0.98,0,0.01,0.75
affiliate marketing,11,https://supermetrics.com/blog/is-affiliate-marketing-worth-it,0.66,1,0.41,0.44,0.92
brand management,1,https://it.pg.com/blogs/brand-management-definizione-importanza/,0.75,0.98,0.31,0.88,0.92
affiliate marketing,6,https://smartblogger.com/affiliate-marketing/,1,1,1,1,0.92
brand management,2,https://www.digital4.biz/marketing/brand-management-cos-e/,0.74,0.88,0.72,0.63,0.83
brand management,4,https://www.markedonzia.com/brand-management-e-gestione-del-marchio/,0.87,0.93,0.09,0.92,1
brand management,13,https://aldoagostinelli.com/brand-management/,0.94,1,0.94,1,0.92
brand management,7,https://www.iulm.it/it/offerta-formativa/corsi-di-lauree-magistrali/marketing-consumi-comunicazione/brand-management-aree-tematiche,0.66,0.21,0.17,0.75,0.83
brand management,6,https://didattica-rubrica.unibg.it/ugov/degreecourse/80624,0.61,0.08,0.02,0.75,0.82
brand management,11,https://www.domusacademy.com/it/corsi/business/master-in-luxury-brand-management/,0.82,0.93,0.57,0.96,0.92
brand management,10,https://www.digital-coach.com/it/corso-brand-management/,0.74,0.35,0.21,0.47,0.92
brand management,5,https://www.ied.it/corsi/roma/master/brand-management,0.56,0.96,0.13,0.66,0.75
brand management,12,https://economia.uniroma2.it/commedia/brands-brand-management/,0.92,0.98,0.34,1,0.9
brand management,8,https://www.unito.it/ugov/degreecourse/989550,0.88,0.9,0.2,1,0.83
brand management,2,https://notiziescientifiche.it/i-10-migliori-libri-sul-brand-management/,0.94,0.91,0.73,1,0.83
brand management,14,https://www.classup.it/blog/brand-manager-cosa-fa-quanto-guadagna-e-come-diventarlo-tvbvw,0.41,0.82,0.01,0.14,0.82
brand management,6,https://www.involucra.com/brand-management.html,0.93,0.94,0.75,1,0.82
brand management,4,https://geo.consulting/morsi-di-marketing/pianeta-marketing-2/brand-management/,0.7,0.54,0.16,0.99,0.92
email marketing,11,https://www.malt.fr/s/tags/email-marketing-59ca86866e6c295df40aa3a8,0.59,0.98,0.32,0.57,0.83
brand management,8,https://blog.gestim.it/brand-management-5-principi-semplici-ed-efficaci/,0.78,0.91,0.56,0.95,0.92
brand management,3,https://www.unibo.it/it/didattica/insegnamenti/insegnamento/2021/463851,0.73,0.62,0.12,0.93,0.83
brand management,12,https://corsi.unige.it/off.f/2021/ins/48210,0.93,0.89,0.5,1,1
brand management,11,https://www2.accademiadellusso.com/corsi-moda/master/fashion-brand-management.asp,0.71,0.84,0.5,0.96,0.92
project management,2,https://fr.wikipedia.org/wiki/Gestion_de_projet,1,1,0.99,1,0.83
brand management,9,https://www.sdabocconi.it/it/formazione-manageriale/branding-per-executive-272505,0.71,0.98,0.03,0.91,0.67
project management,5,https://www.linguee.fr/anglais-francais/traduction/project+manager.html,0.99,1,0.99,1,0.83
brand management,7,https://www.istitutomarangoni.com/it/corsi-moda/fashion-business/fashion-luxury-brand-management,0.26,0.09,0,0.05,0.83
project management,3,https://www.projectmanagement.com/,0.7,0.6,0.34,0.79,0.82
project management,1,https://www.pmi.org/about/learn-about-pmi/what-is-project-management,0.51,0.93,0.28,0.29,0.91
brand management,5,https://www.polidesign.net/it/formazione/communication-design/master--brand-communication/,0.36,0.83,0,0.21,0.83
project management,6,https://www.l-expert-comptable.com/a/533960-project-manager-metier-salaire-formation-diplomes.html,0.82,1,0.36,0.94,0.83
project management,4,https://www.apm.org.uk/resources/what-is-project-management/,0.51,0.62,0.21,0.61,0.91
brand management,10,https://www.cuoa.it/ita/formazione/master/master-in-marketing-e-brand-management,0.31,0.87,0.03,0.81,0.91
project management,8,http://pm-org.com/,0.71,0.77,0.55,1,0.91
project management,12,https://www.francecompetences.fr/recherche/rs/1397/,0.82,0.88,0.29,0.97,0.67
project management,7,https://www.ipag.edu/en/blog/project-management,0.91,0.87,0.42,0.69,0.83
project management,9,https://kissflow.com/project/project-management-basics/,0.76,0.9,0.7,0.53,0.82
project management,2,https://klaxoon.com/fr-insight/quest-ce-que-le-lean-project-management,0.94,0.85,0.77,0.9,1
project management,10,https://openclassrooms.com/fr/courses/4849646-project-management-101,0.61,0.94,0.02,0.48,0.83
project management,1,https://www.perfony.com/en/7-steps-to-effective-project-management/,0.91,0.98,0.44,0.93,0.83
project management,11,https://www.atlassian.com/project-management,0.71,0.84,0.87,0.73,0.83
project management,3,https://www.qrpinternational.fr/blog/glossaire/pmp-cest-quoi-definition-pmp/,0.8,0.86,0.08,0.97,0.83
project management,5,https://www.apec.fr/tous-nos-metiers/informatique/project-management-officer.html,0.9,0.95,0.5,1,0.82
project management,6,https://pmi-france.org/,0.86,0.91,0.27,1,0.73
project management,10,https://www.esc-clermont.fr/programme/msc-master-project-management-france/,0.92,0.92,0.35,0.93,0.91
project management,9,https://www.iscparis.com/le-metier-de-project-manager/,0.58,0.61,0.03,0.74,1
project management,8,https://www.chooseyourboss.com/jobs/pmo-project-management-officer,0.84,0.81,0.3,0.94,1
project management,11,https://www.wrike.com/project-management-guide/project-management-basics/,0.48,0.91,0.1,0.29,0.92
project management,4,https://www.techtarget.com/searchcio/definition/project-management,0.6,0.99,0,0.25,0.83
customer relationship management,1,https://blog.hubspot.fr/sales/crm,0.71,0.98,0.4,0.42,0.92
customer relationship management,4,https://en.wikipedia.org/wiki/Customer_relationship_management,0.98,0.95,0.88,1,0.67
project management,12,https://www.amazon.fr/Guide-Project-Management-Body-Knowledge/dp/1935589679,0.91,0.83,0.47,0.97,0.75
customer relationship management,8,https://go.sellsy.com/en/what-is-a-crm,0.95,0.93,0.91,1,1
customer relationship management,3,https://fr.eudonet.com/crm/definition-crm/,0.54,0.72,0.15,0.36,0.92
customer relationship management,7,https://www.oracle.com/fr/cx/what-is-crm/,0.62,0.99,0.84,0.9,0.92
customer relationship management,5,https://www.investopedia.com/terms/c/customer_relation_management.asp,0.65,1,0.39,0.11,0.83
